,Japan,Germany,Japan - set,Germany - set,union,intersection,intersect percent
DOS,22.0,2284.0,21.0,1780.0,1791.0,10.0,0.005583472920156337
SNES,827.0,80.0,814.0,78.0,841.0,51.0,0.06064209274673008
Amiga,0.0,1100.0,0.0,1014.0,1014.0,0.0,0.0
FM Towns,492.0,0.0,484.0,0.0,484.0,0.0,0.0
SEGA CD,110.0,50.0,110.0,49.0,132.0,27.0,0.20454545454545456
Windows,923.0,7703.0,864.0,5950.0,6619.0,195.0,0.02946064360175253
Macintosh,72.0,480.0,66.0,457.0,521.0,2.0,0.003838771593090211
Atari ST,0.0,589.0,0.0,557.0,557.0,0.0,0.0
Commodore 64,2.0,789.0,2.0,691.0,693.0,0.0,0.0
Apple II,5.0,0.0,5.0,0.0,5.0,0.0,0.0
Atari 8-bit,0.0,82.0,0.0,76.0,76.0,0.0,0.0
MSX,592.0,148.0,568.0,143.0,685.0,26.0,0.03795620437956204
ZX Spectrum,0.0,297.0,0.0,275.0,275.0,0.0,0.0
Amstrad CPC,0.0,250.0,0.0,231.0,231.0,0.0,0.0
Windows 3.x,38.0,261.0,38.0,236.0,273.0,1.0,0.003663003663003663
PlayStation,1876.0,408.0,1423.0,385.0,1612.0,196.0,0.12158808933002481
Arcade,1507.0,36.0,1484.0,35.0,1511.0,8.0,0.005294506949040371
SEGA Master System,73.0,219.0,72.0,209.0,239.0,42.0,0.17573221757322174
TurboGrafx-16,223.0,0.0,223.0,0.0,223.0,0.0,0.0
Game Gear,155.0,93.0,144.0,93.0,188.0,49.0,0.26063829787234044
Genesis,453.0,175.0,453.0,172.0,545.0,80.0,0.14678899082568808
SEGA Saturn,604.0,45.0,554.0,45.0,562.0,37.0,0.06583629893238434
J2ME,38.0,72.0,37.0,72.0,109.0,0.0,0.0
Nintendo 3DS,594.0,130.0,557.0,128.0,621.0,64.0,0.10305958132045089
Nintendo Switch,751.0,359.0,729.0,359.0,985.0,103.0,0.10456852791878173
PC-98,1335.0,0.0,1290.0,0.0,1290.0,0.0,0.0
PC-88,500.0,0.0,491.0,0.0,491.0,0.0,0.0
Sharp X68000,448.0,0.0,447.0,0.0,447.0,0.0,0.0
iPhone,107.0,14.0,93.0,12.0,102.0,3.0,0.029411764705882353
iPad,86.0,10.0,75.0,10.0,84.0,1.0,0.011904761904761904
Android,114.0,18.0,109.0,18.0,124.0,3.0,0.024193548387096774
Linux,0.0,76.0,0.0,74.0,74.0,0.0,0.0
NES,896.0,35.0,861.0,34.0,878.0,17.0,0.0193621867881549
Wii,737.0,367.0,700.0,336.0,924.0,112.0,0.12121212121212122
PC-8000,23.0,0.0,22.0,0.0,22.0,0.0,0.0
Sharp X1,219.0,0.0,216.0,0.0,216.0,0.0,0.0
FM-7,241.0,0.0,238.0,0.0,238.0,0.0,0.0
Sharp MZ-80B/2000/2500,18.0,0.0,17.0,0.0,17.0,0.0,0.0
PC Booter,0.0,7.0,0.0,6.0,6.0,0.0,0.0
"Commodore 16, Plus/4",0.0,72.0,0.0,71.0,71.0,0.0,0.0
Browser,3.0,16.0,3.0,16.0,19.0,0.0,0.0
Palm OS,4.0,0.0,4.0,0.0,4.0,0.0,0.0
3DO,62.0,11.0,62.0,11.0,69.0,4.0,0.057971014492753624
CD-i,1.0,61.0,1.0,60.0,60.0,1.0,0.016666666666666666
Nintendo 64,129.0,126.0,126.0,120.0,191.0,55.0,0.2879581151832461
Atari 2600,0.0,30.0,0.0,30.0,30.0,0.0,0.0
Lynx,0.0,13.0,0.0,13.0,13.0,0.0,0.0
ColecoVision,0.0,8.0,0.0,7.0,7.0,0.0,0.0
VIC-20,3.0,5.0,3.0,5.0,8.0,0.0,0.0
PC-6001,51.0,0.0,50.0,0.0,50.0,0.0,0.0
Sharp Zaurus,8.0,0.0,8.0,0.0,8.0,0.0,0.0
Intellivision,0.0,2.0,0.0,2.0,2.0,0.0,0.0
Game Boy,337.0,91.0,333.0,90.0,382.0,41.0,0.10732984293193717
Neo Geo Pocket Color,34.0,7.0,33.0,7.0,34.0,6.0,0.17647058823529413
Game Boy Advance,364.0,170.0,336.0,170.0,449.0,57.0,0.12694877505567928
Xbox 360,389.0,574.0,373.0,534.0,724.0,183.0,0.2527624309392265
Windows Phone,1.0,5.0,1.0,5.0,5.0,1.0,0.2
Wii U,399.0,136.0,385.0,132.0,492.0,25.0,0.0508130081300813
PlayStation 4,803.0,288.0,779.0,283.0,1026.0,36.0,0.03508771929824561
Xbox One,50.0,68.0,49.0,68.0,117.0,0.0,0.0
Sord M5,17.0,0.0,15.0,0.0,15.0,0.0,0.0
Casio PV-1000,10.0,0.0,10.0,0.0,10.0,0.0,0.0
BREW,45.0,0.0,45.0,0.0,45.0,0.0,0.0
Windows Mobile,1.0,0.0,1.0,0.0,1.0,0.0,0.0
BBC Micro,0.0,3.0,0.0,3.0,3.0,0.0,0.0
Game Boy Color,123.0,111.0,121.0,111.0,216.0,16.0,0.07407407407407407
TurboGrafx CD,409.0,0.0,407.0,0.0,407.0,0.0,0.0
Amiga CD32,0.0,96.0,0.0,96.0,96.0,0.0,0.0
CDTV,0.0,17.0,0.0,17.0,17.0,0.0,0.0
WonderSwan Color,40.0,0.0,38.0,0.0,38.0,0.0,0.0
PlayStation 3,663.0,537.0,626.0,492.0,1046.0,72.0,0.06883365200764818
Jaguar,0.0,4.0,0.0,4.0,4.0,0.0,0.0
Symbian,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SG-1000,74.0,1.0,73.0,1.0,73.0,1.0,0.0136986301369863
WonderSwan,63.0,0.0,61.0,0.0,61.0,0.0,0.0
Dreamcast,306.0,90.0,279.0,90.0,320.0,49.0,0.153125
PSP,763.0,126.0,672.0,119.0,760.0,31.0,0.04078947368421053
PS Vita,748.0,50.0,717.0,50.0,754.0,13.0,0.017241379310344827
N-Gage,1.0,26.0,1.0,26.0,27.0,0.0,0.0
PlayStation 2,1541.0,786.0,1300.0,712.0,1810.0,202.0,0.11160220994475138
DVD Player,4.0,5.0,4.0,5.0,9.0,0.0,0.0
Sharp MZ-80K/700/800/1500,22.0,1.0,22.0,1.0,23.0,0.0,0.0
SEGA 32X,18.0,17.0,18.0,17.0,23.0,12.0,0.5217391304347826
Dedicated handheld,47.0,3.0,47.0,3.0,50.0,0.0,0.0
Xbox,207.0,311.0,194.0,295.0,417.0,72.0,0.17266187050359713
Nintendo DS,406.0,229.0,365.0,220.0,520.0,65.0,0.125
DoJa,103.0,10.0,99.0,10.0,109.0,0.0,0.0
Electron,0.0,2.0,0.0,2.0,2.0,0.0,0.0
GameCube,188.0,225.0,177.0,220.0,315.0,82.0,0.26031746031746034
Vectrex,0.0,18.0,0.0,17.0,17.0,0.0,0.0
Nintendo DSi,53.0,6.0,53.0,6.0,58.0,1.0,0.017241379310344827
PC-FX,62.0,0.0,62.0,0.0,62.0,0.0,0.0
New Nintendo 3DS,29.0,17.0,29.0,17.0,42.0,4.0,0.09523809523809523
Blu-ray Disc Player,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Neo Geo,102.0,0.0,101.0,0.0,101.0,0.0,0.0
Neo Geo CD,53.0,0.0,53.0,0.0,53.0,0.0,0.0
Tomy Tutor,11.0,0.0,11.0,0.0,11.0,0.0,0.0
Odyssey 2,0.0,14.0,0.0,14.0,14.0,0.0,0.0
Epoch Game Pocket Computer,2.0,0.0,2.0,0.0,2.0,0.0,0.0
Pippin,10.0,0.0,10.0,0.0,10.0,0.0,0.0
Sinclair QL,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Commodore PET/CBM,99.0,2.0,98.0,2.0,100.0,0.0,0.0
Epoch Super Cassette Vision,7.0,0.0,7.0,0.0,7.0,0.0,0.0
Fire OS,0.0,2.0,0.0,2.0,2.0,0.0,0.0
SuperGrafx,7.0,0.0,7.0,0.0,7.0,0.0,0.0
Neo Geo Pocket,9.0,0.0,9.0,0.0,9.0,0.0,0.0
ExEn,0.0,42.0,0.0,42.0,42.0,0.0,0.0
LaserActive,38.0,0.0,31.0,0.0,31.0,0.0,0.0
Dedicated console,92.0,135.0,62.0,77.0,133.0,6.0,0.045112781954887216
Arcadia 2001,4.0,0.0,4.0,0.0,4.0,0.0,0.0
V.Smile,0.0,3.0,0.0,3.0,3.0,0.0,0.0
Virtual Boy,19.0,0.0,19.0,0.0,19.0,0.0,0.0
Wang 2200,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Channel F,1.0,50.0,1.0,23.0,23.0,1.0,0.043478260869565216
Spectravideo,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Odyssey,0.0,1.0,0.0,1.0,1.0,0.0,0.0
SEGA Pico,5.0,0.0,5.0,0.0,5.0,0.0,0.0
Casio Loopy,2.0,0.0,2.0,0.0,2.0,0.0,0.0
Epoch Cassette Vision,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Microvision,0.0,1.0,0.0,1.0,1.0,0.0,0.0
Playdia,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Pokémon Mini,10.0,0.0,10.0,0.0,10.0,0.0,0.0
XaviXPORT,4.0,0.0,4.0,0.0,4.0,0.0,0.0
Tele-Spiel ES-2201,0.0,5.0,0.0,5.0,5.0,0.0,0.0
Interton Video 2000,0.0,5.0,0.0,5.0,5.0,0.0,0.0
GIMINI,7.0,13.0,5.0,6.0,6.0,5.0,0.8333333333333334
Ideal-Computer,0.0,5.0,0.0,3.0,3.0,0.0,0.0
1292 Advanced Programmable Video System,0.0,24.0,0.0,15.0,15.0,0.0,0.0
